,loss,t
0,0.23633334,41
1,0.32929274,42
2,0.20531437,42
3,0.20780644,42
4,0.078520246,42
5,0.11858667,42
6,0.094864614,43
7,0.04079136,43
8,0.07615811,43
9,0.061150324,43
10,0.05478494,43
11,0.09190284,44
12,0.103649825,44
13,0.1638473,44
14,0.11613078,44
15,0.08561238,44
16,0.12866567,45
17,0.078141265,45
18,0.10064921,45
19,0.10285069,45
20,0.08704172,46
21,0.05770782,46
22,0.04849865,46
23,0.12533104,46
24,0.03327607,46
25,0.076019794,47
26,0.09048023,47
27,0.09625208,47
28,0.009744322,47
29,0.08265183,47
30,0.08853111,48
31,0.12114237,48
32,0.12350046,48
33,0.056079578,48
34,0.074852176,48
35,0.049210526,49
36,0.087248996,49
37,0.17021748,49
38,0.045752745,49
39,0.080167964,49
